order_id,customer_id,order_ts,status,subtotal,tax,shipping,total_amount,country,state,payment_method
ord_100000,cust_1003,2025-12-27 08:43:59,pending,429.41,46.8,5.82,482.03,DE,BE,paypal
ord_100001,cust_1367,2026-02-02 16:59:11,cancelled,474.18,34.75,8.41,517.34,FR,ON,card
ord_100002,cust_1486,2026-01-12 21:05:45,refunded,387.82,45.11,16.83,449.76,FR,NY,bank_transfer
ord_100003,cust_1346,2026-01-05 01:16:44,refunded,310.41,24.43,16.3,351.14,GB,ON,paypal
ord_100004,cust_1269,2026-01-17 11:25:02,pending,120.91,11.31,4.1,136.32,FR,LDN,card
ord_100005,cust_1090,2025-12-26 03:37:59,pending,259.86,30.29,8.83,298.98,DE,MH,bank_transfer
ord_100006,cust_1034,2026-01-28 11:39:30,refunded,456.21,49.05,8.87,514.13,FR,WA,bank_transfer
ord_100007,cust_1549,2026-01-29 00:47:34,pending,400.81,20.72,9.16,430.69,FR,WA,apple_pay
ord_100008,cust_1295,2026-01-08 05:44:25,cancelled,46.96,4.83,13.03,64.82,IN,WA,bank_transfer
ord_100009,cust_1063,2026-01-25 15:13:11,cancelled,91.64,5.06,3.32,100.02,FR,ON,card
ord_100010,cust_1337,2026-02-05 12:36:16,cancelled,13.66,1.34,2.43,17.43,GB,TX,card
ord_100011,cust_1483,2026-01-14 11:01:17,paid,123.19,11.01,1.08,135.28,FR,TX,bank_transfer
ord_100012,cust_1520,2025-12-26 11:25:56,refunded,136.47,5.47,7.17,149.11,IN,KA,paypal
ord_100013,cust_1219,2025-12-26 15:26:04,paid,15.67,1.12,0.27,17.06,FR,TX,paypal
ord_100014,cust_1343,2026-01-29 05:30:30,cancelled,198.88,8.34,10.29,217.51,FR,KA,apple_pay
ord_100015,cust_1316,2026-01-28 20:26:47,pending,250.18,26.12,9.14,285.44,US,ON,card
ord_100016,cust_1185,2026-01-03 19:44:33,paid,271.56,19.16,9.84,300.56,CA,ON,apple_pay
ord_100017,cust_1432,2026-01-12 05:39:19,pending,227.06,19.49,11.66,258.21,IN,LDN,apple_pay
ord_100018,cust_1319,2026-01-02 16:17:56,pending,200.86,11.76,1.32,213.94,US,NY,card
ord_100019,cust_1289,2025-12-25 06:46:03,cancelled,464.99,22.47,12.36,499.82,CA,BE,paypal
ord_100020,cust_1258,2026-01-25 03:32:57,refunded,111.25,9.31,5.09,125.65,GB,LDN,paypal
ord_100021,cust_1051,2026-01-20 03:50:35,refunded,216.55,19.05,15.98,251.58,CA,KA,apple_pay
ord_100022,cust_1102,2026-01-28 05:01:19,cancelled,434.25,17.78,10.06,462.09,CA,BE,card
ord_100023,cust_1019,2026-01-18 18:59:11,refunded,18.03,1.28,13.15,32.46,US,NY,apple_pay
ord_100024,cust_1537,2026-02-04 06:23:40,pending,72.43,6.36,10.36,89.15,FR,LDN,bank_transfer
ord_100025,cust_1316,2026-01-06 01:05:16,cancelled,420.02,40.8,10.5,471.32,DE,MH,paypal
ord_100026,cust_1538,2026-01-31 14:46:50,refunded,176.38,20.28,5.49,202.15,CA,NY,paypal
ord_100027,cust_1397,2026-01-10 00:58:44,refunded,75.84,8.2,8.39,92.43,DE,CA,bank_transfer
ord_100028,cust_1233,2026-02-01 21:35:46,cancelled,435.68,33.86,3.59,473.13,DE,WA,apple_pay
ord_100029,cust_1265,2026-01-20 10:28:44,cancelled,458.14,41.77,8.57,508.48,CA,BE,apple_pay
ord_100030,cust_1137,2026-01-21 03:08:28,paid,325.19,17.53,8.43,351.15,GB,KA,paypal
ord_100031,cust_1440,2026-01-30 10:46:59,cancelled,204.26,17.44,1.45,223.15,FR,BE,paypal
ord_100032,cust_1479,2026-02-05 14:06:07,cancelled,416.92,31.88,1.1,449.9,DE,MH,bank_transfer
ord_100033,cust_1401,2026-01-09 01:55:11,pending,448.95,35.01,4.54,488.5,US,CA,bank_transfer
ord_100034,cust_1203,2025-12-31 00:39:23,refunded,264.9,28.09,15.38,308.37,GB,WA,apple_pay
ord_100035,cust_1339,2026-01-11 11:28:50,pending,46.07,4.62,13.09,63.78,GB,LDN,card
ord_100036,cust_1024,2026-01-06 04:10:26,paid,478.96,43.6,8.78,531.34,DE,WA,paypal
ord_100037,cust_1313,2026-01-15 00:22:53,cancelled,192.26,11.04,16.96,220.26,FR,NY,card
ord_100038,cust_1542,2026-01-24 22:25:54,pending,371.94,23.61,4.75,400.3,FR,NY,card
ord_100039,cust_1395,2026-01-31 17:05:20,refunded,216.86,18.29,3.41,238.56,FR,BE,apple_pay
ord_100040,cust_1315,2025-12-28 19:36:50,cancelled,153,10.93,6.49,170.42,US,LDN,card
ord_100041,cust_1097,2026-01-29 01:20:57,refunded,164.49,7.89,5.34,177.72,FR,CA,paypal
ord_100042,cust_1185,2026-01-18 07:58:10,cancelled,251.19,25.89,3.65,280.73,CA,MH,apple_pay
ord_100043,cust_1374,2026-01-20 18:54:32,pending,233.59,12.64,0.68,246.91,FR,TX,bank_transfer
ord_100044,cust_1315,2026-01-20 12:59:58,pending,265.25,21.52,10.91,297.68,CA,NY,card
ord_100045,cust_1037,2025-12-27 02:43:09,refunded,207.96,23.08,13.31,244.35,US,CA,bank_transfer
ord_100046,cust_1487,2026-01-10 02:51:06,cancelled,279.63,11.32,9.99,300.94,GB,ON,apple_pay
ord_100047,cust_1080,2026-01-28 13:06:47,paid,130.45,15.21,0.15,145.81,CA,CA,card
ord_100048,cust_1100,2026-01-09 18:59:46,pending,15.21,1.32,3,19.53,DE,KA,bank_transfer
ord_100049,cust_1218,2026-01-11 09:44:24,pending,389.41,32.32,2.31,424.04,DE,MH,bank_transfer
ord_100050,cust_1438,2026-01-01 01:33:08,cancelled,303.98,35.86,9.96,349.8,US,TX,paypal
ord_100051,cust_1425,2026-01-07 10:11:39,paid,140.15,9.4,5.75,155.3,GB,ON,bank_transfer
